Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,Ethernet2,172.30.255.17/31,spine,s1-spine1,Ethernet7,172.30.255.16/31
l3leaf,s1-brdr1,Ethernet3,172.30.255.19/31,spine,s1-spine2,Ethernet7,172.30.255.18/31
l3leaf,s1-brdr2,Ethernet2,172.30.255.21/31,spine,s1-spine1,Ethernet8,172.30.255.20/31
l3leaf,s1-brdr2,Ethernet3,172.30.255.23/31,spine,s1-spine2,Ethernet8,172.30.255.22/31
l3leaf,s1-leaf1,Ethernet2,172.30.255.1/31,spine,s1-spine1,Ethernet2,172.30.255.0/31
l3leaf,s1-leaf1,Ethernet3,172.30.255.3/31,spine,s1-spine2,Ethernet2,172.30.255.2/31
l3leaf,s1-leaf2,Ethernet2,172.30.255.5/31,spine,s1-spine1,Ethernet3,172.30.255.4/31
l3leaf,s1-leaf2,Ethernet3,172.30.255.7/31,spine,s1-spine2,Ethernet3,172.30.255.6/31
l3leaf,s1-leaf3,Ethernet2,172.30.255.9/31,spine,s1-spine1,Ethernet4,172.30.255.8/31
l3leaf,s1-leaf3,Ethernet3,172.30.255.11/31,spine,s1-spine2,Ethernet4,172.30.255.10/31
l3leaf,s1-leaf4,Ethernet2,172.30.255.13/31,spine,s1-spine1,Ethernet5,172.30.255.12/31
l3leaf,s1-leaf4,Ethernet3,172.30.255.15/31,spine,s1-spine2,Ethernet5,172.30.255.14/31
l3leaf,s2-brdr1,Ethernet2,172.31.255.17/31,spine,s2-spine1,Ethernet7,172.31.255.16/31
l3leaf,s2-brdr1,Ethernet3,172.31.255.19/31,spine,s2-spine2,Ethernet7,172.31.255.18/31
l3leaf,s2-brdr2,Ethernet2,172.31.255.21/31,spine,s2-spine1,Ethernet8,172.31.255.20/31
l3leaf,s2-brdr2,Ethernet3,172.31.255.23/31,spine,s2-spine2,Ethernet8,172.31.255.22/31
l3leaf,s2-leaf1,Ethernet2,172.31.255.1/31,spine,s2-spine1,Ethernet2,172.31.255.0/31
l3leaf,s2-leaf1,Ethernet3,172.31.255.3/31,spine,s2-spine2,Ethernet2,172.31.255.2/31
l3leaf,s2-leaf2,Ethernet2,172.31.255.5/31,spine,s2-spine1,Ethernet3,172.31.255.4/31
l3leaf,s2-leaf2,Ethernet3,172.31.255.7/31,spine,s2-spine2,Ethernet3,172.31.255.6/31
l3leaf,s2-leaf3,Ethernet2,172.31.255.9/31,spine,s2-spine1,Ethernet4,172.31.255.8/31
l3leaf,s2-leaf3,Ethernet3,172.31.255.11/31,spine,s2-spine2,Ethernet4,172.31.255.10/31
l3leaf,s2-leaf4,Ethernet2,172.31.255.13/31,spine,s2-spine1,Ethernet5,172.31.255.12/31
l3leaf,s2-leaf4,Ethernet3,172.31.255.15/31,spine,s2-spine2,Ethernet5,172.31.255.14/31
